"doi","publication_date","title","journal","issn","publisher","member_id"
"10.1166/jbmb.2013.1379","2013-12-01","Activated Carbon from Various Agricultural Wastes by Chemical Activation with KOH: Preparation and Characterization","J Biobased Mat Bioenergy","1556-6560","American Scientific Publishers",17
"10.1002/ett.2645","2013-05","Delay-oriented power-aware routing in wireless ad hoc networks","Trans. Emerging. Tel. Tech.","2161-3915","Wiley-Blackwell",311
"10.1016/j.mporth.2013.01.003","2013-04","(i) Basics of orthopaedic biomechanics","Orthopaedics and Trauma","1877-1327","Elsevier BV",78
"10.4028/www.scientific.net/amm.353-356.2896","2013-08","Preparation and Application of a Self-Thermal and Insulation-Ribbed Floor","AMM","1662-7482","Trans Tech Publications",2457
"10.1109/tit.2013.2276626","2013-11","A Generalized Construction and Improvements on Nonbinary Codes From Goppa Codes","IEEE Transactions on Information Theory","0018-9448","Institute of Electrical & Electronics Engineers (IEEE)",263
"10.1016/j.apsusc.2013.03.124","2013-08","Recovery of thermal-degraded ZnO photodetector by embedding nano silver oxide nanoparticles","Applied Surface Science","0169-4332","Elsevier BV",78
"10.1109/tmi.2013.2258030","2013-08","Fully Automatic Segmentation of the Proximal Femur Using Random Forest Regression Voting","IEEE Transactions on Medical Imaging","0278-0062","Institute of Electrical & Electronics Engineers (IEEE)",263
"10.1242/bio.20134788","2013-06-28","Intra-ER sorting of the peroxisomal membrane protein Pex3 relies on its luminal domain","Biology Open","2046-6390","The Company of Biologists",237
"10.1111/blar.12023","2013-03-01","Patagonia: Myths and Realities - edited by Peü¾¼aloza, Fernanda, Wilson, Jason and Canaparo, Claudio","Bulletin of Latin American Research","0261-3050","Wiley-Blackwell",311
"10.14210/contrapontos.v13n1.p24-32","2013-01-30","Formaü¾¶¼ü¾¶¼o em Grupos na Perspectiva de Desenvolvimento Profissional: Professores Experientes e Iniciantes de Matemü¾¼tica","Contrapontos","1984-7114","Editora UNIVALI",5321
"10.1111/fmii.12003","2013-04-18","Editorial","Financial Markets","0963-8008","Wiley-Blackwell",311
"10.1038/scientificamerican0413-20a","2013-03-19","Doc, I'm off My Diet. LOL","Sci Am","0036-8733","Nature Publishing Group",339
"10.1016/j.jflm.2013.08.011","2013-11","Pattern and outcome of Cleistanthus collinus (Oduvanthalai) poisoning in a tertiary care teaching hospital in South India","Journal of Forensic and Legal Medicine","1752-928X","Elsevier BV",78
"10.1371/annotation/4b9340db-455b-4e0d-86e5-b6783747111f","2013-08-21","Correction: I Should but I Wont: Why Young Children Endorse Norms of Fair Sharing but Do Not Follow Them","PLoS ONE","1932-6203","Public Library of Science (PLoS)",340
"10.1103/physreve.88.020401","2013-08","Rotation-induced grain growth and stagnation in phase-field crystal models","Physical Review E","1539-3755","American Physical Society (APS)",16
"10.1016/j.nonrwa.2012.07.010","2013-02","Adaptive fuzzy output feedback control for a single-link flexible robot manipulator driven DC motor via backstepping","Nonlinear Analysis: Real World Applications","1468-1218","Elsevier BV",78
"10.1177/0748233713485885","2013-04-15","Modulation of carbon tetrachloride-induced nephrotoxicity in rats by n-hexane extract of Sonchus asper","Toxicology and Industrial Health","0748-2337","SAGE Publications",179
"10.4013/nbc.2013.83.02","2013-09-09","O papel de praias estuarinas como habitats para peixes em um ambiente subtropical brasileiro","Neotropical Biology and Conservation","2236-3777","UNISINOS - Universidade do Vale do Rio Dos Sinos",2428
"10.1038/cmi.2013.26","2013-08-05","The interaction of influenza H5N1 viral hemagglutinin with sialic acid receptors leads to the activation of human ü¾¶¼ü¾¼ T cells","Cell Mol Immunol","1672-7681","Nature Publishing Group",339
"10.1166/jctn.2013.2650","2013-01-01","Love Waves in a Non-Homogeneous Orthotropic Magneto-Elastic Layer Under Initial Stress Overlying a Semi-Infinite Medium","Journal of Computational and Theoretical Nanoscience","1546-1955","American Scientific Publishers",17
"10.1007/s15016-013-0345-2","2013-09","Unsere Fachgruppen holen auf","NeuroTransmitter","1436-123X","Springer Science + Business Media",297
"10.1134/s2079970513020020","2013-04","Assessment of the relationship between economic growth and political institutions in a region","Regional Research of Russia","2079-9705","Pleiades Publishing Ltd",137
"10.1007/s13369-013-0587-0","2013-02-16","The Effect of OH-Modified Nanoclays Fillers on the Compatibility and Properties of Polypropylene/Poly (Ethylene Oxide) Blends","Arabian Journal for Science and Engineering","1319-8025","Springer Science + Business Media",297
"10.1161/hypertensionaha.111.00854","2013-02-11","Blacks Have a Greater Sensitivity to ü¾¼1-Adrenoceptor-Mediated Venoconstriction Compared With Whites","Hypertension","0194-911X","Ovid Technologies (Wolters Kluwer Health)",276
"10.1177/1757177413495908","2013-07-18","Patients' perceptions of hemodialysis catheter care practices at home before and after eliminating a protective dressing and implementing a showering protocol","Journal of Infection Prevention","1757-1774","SAGE Publications",179
"10.1016/j.ymgme.2013.06.021","2013-11","Clinical, biochemical, molecular and therapeutic aspects of 2 new cases of 2-aminoadipic semialdehyde synthase deficiency","Molecular Genetics and Metabolism","1096-7192","Elsevier BV",78
"10.1002/ajmg.a.36018","2013-07-03","9p partial monosomy and disorders of sex development: Review and postulation of a pathogenetic mechanism","American Journal of Medical Genetics Part A","1552-4825","Wiley-Blackwell",311
"10.1002/jssc.201201021","2013-05","Nonlinear alignment of chromatograms by means of moving window fast Fourier transfrom cross-correlation","Journal of Separation Science","1615-9306","Wiley-Blackwell",311
"10.1113/jphysiol.2012.250548","2013-03-27","Your ageing brain: the lows and highs of cerebral metabolism","The Journal of Physiology","0022-3751","Wiley-Blackwell",311
"10.1080/15248372.2013.858042","2013-10-31","Oxytocin Receptor Gene Relates to Theory of Mind and Prosocial Behavior in Children","Journal of Cognition and Development","1524-8372","Informa UK Limited",301
"10.1007/s13367-013-0011-z","2013-05","Long wavelength peristaltic flow in a tubes with an endoscope subjected to magnetic field","Korea-Australia Rheology Journal","1226-119X","Springer Science + Business Media",297
"10.5309/willmaryquar.70.4.0843","2013-10","Response to Cristobal Silva","The William and Mary Quarterly","0043-5597","The William and Mary Quarterly",3281
"10.1093/yiel/yvt063","2013-01-01","The Challenge of Reducing Greenhouse Gas Emissions from International Shipping: Assessing the International Maritime Organization's Regulatory Response","Yearbook of International Environmental Law","0965-1721","Oxford University Press (OUP)",286
"10.9734/ijbcrr/2013/3797","2013-01-10","The Effect of COD/N Ratios and pH Control to Biogas Production from Vinasse","International Journal of Biochemistry Research & Review","2231-086X","Sciencedomain International",4694
"10.1016/j.mseb.2012.12.003","2013-03","Effect of substrate on microstructure and mechanical properties of solgel prepared (K, Na)NbO3 thin films","Materials Science and Engineering: B","0921-5107","Elsevier BV",78
"10.1007/jhep10(2013)218","2013-10","Extended supersymmetry on curved spaces","Journal of High Energy Physics","1029-8479","Springer Science + Business Media",297
"10.9770/jesi.2013.1.2(5)","2013-12-16","Silent issues of ICT era: impact of techno-stress to the work and life balance of employees","ENTREPRENEURSHIP AND SUSTAINABILITY ISSUES","2345-0282","Entrepreneurship and Sustainability Center",4837
"10.1161/circimaging.112.000133","2013-02-12","Chronic Manifestation of Postreperfusion Intramyocardial Hemorrhage as Regional Iron Deposition: A Cardiovascular Magnetic Resonance Study With Ex Vivo Validation","Circulation: Cardiovascular Imaging","1941-9651","Ovid Technologies (Wolters Kluwer Health)",276
"10.1136/gutjnl-2013-305667","2013-11-07","Safety and on-treatment efficacy of telaprevir: the early access programme for patients with advanced hepatitis C","Gut","0017-5749","BMJ",239
"10.3109/07388551.2013.800018","2013-08-28","Endophytic fungi: resource for gibberellins and crop abiotic stress resistance","Critical Reviews in Biotechnology","0738-8551","Informa Healthcare",3197
"10.1016/j.chemosphere.2012.12.060","2013-04","QSPR modeling of n-octanol/air partition coefficients and liquid vapor pressures of polychlorinated dibenzo-p-dioxins","Chemosphere","0045-6535","Elsevier BV",78
"10.1111/j.2041-5370.2013.tb02558.x","2013-03","6 - THE MAUSOLEA OF HALICARNASSUS","Bulletin of the Institute of Classical Studies","0076-0730","Wiley-Blackwell",311
"10.1017/s0021932013000011","2013-02-15","COMPARISON OF TWINNING RATES FOR VILLAGES IN MAKARSKA REGION, CROATIA","J. Biosoc. Sci.","0021-9320","Cambridge University Press (CUP)",56
"10.1158/1538-7445.am2013-1852","2013-04-15","Abstract 1852: Pyruvate dehydrogenase kinase expression and metabolic changes following dichloroacetate exposure in anoxia in human colorectal cancer cells.","Cancer Research","0008-5472","American Association for Cancer Research (AACR)",1086
"10.1002/bies.201390001","2013-01-15","BioEssays 2/2013","Bioessays","0265-9247","Wiley-Blackwell",311
"10.1215/15476715-1634096","2013-03-01","""The Balance Wheel"": William Allen White, the Kansas Industrial Court, and the Progressive Approach to the Labor Question, 1914-1925","Labor Studies in Working-Class History of the Americas","1547-6715","Duke University Press",73
"10.4161/auto.23278","2013-04-04"," Ambra1 knockdown in zebrafish leads to incomplete development due to severe defects in organogenesis ","Autophagy","1554-8627","Landes Bioscience",301
"10.4028/www.scientific.net/amm.325-326.624","2013-06","Fault Analysis of Distribution Network which Contains Distributed Generation","AMM","1662-7482","Trans Tech Publications",2457
"10.1088/0951-7715/26/9/2641","2013-08-12","Coupled skinny baker's maps and the KaplanYorke conjecture","Nonlinearity","0951-7715","IOP Publishing",266
"10.1007/s00198-013-2326-5","2013-04-18","Primary non-adherence to bisphosphonates in an integrated healthcare setting","Osteoporos Int","0937-941X","Springer Science + Business Media",297
"10.1016/s0030-3992(12)00505-1","2013-04","Editorial Board","Optics & Laser Technology","0030-3992","Elsevier BV",78
"10.3892/ol.2013.1660","2013-11-06","Occult neoplastic cells in lymph node sinuses and recurrence/metastasis of stage II/III gastric cancer","Oncology Letters","1792-1074","Spandidos Publications",2249
"10.1016/j.ijcard.2013.06.054","2013-10","Association of migraine aura with patent foramen ovale and atrial septal aneurysms","International Journal of Cardiology","0167-5273","Elsevier BV",78
"10.1109/tmm.2013.2240674","2013-06","Adaptive Mobile Cloud Computing to Enable Rich Mobile Multimedia Applications","IEEE Trans. Multimedia","1520-9210","Institute of Electrical & Electronics Engineers (IEEE)",263
"10.1016/j.jcin.2012.12.134","2013-06","Endovascular Coil Embolization of Behü¾¶¼et DiseaseRelated Giant Aneurysm of the Right Coronary Artery After Failure of Surgical Suture","JACC: Cardiovascular Interventions","1936-8798","Elsevier BV",78
"10.1117/1.jbo.18.5.058003","2013-05-30","Optical characteristics of the cornea and sclera and their alterations under the effect of nondestructive 1.56-ü¾¶¼m laser radiation","J. Biomed. Opt","1083-3668","SPIE-Intl Soc Optical Eng",189
"10.1016/j.jht.2013.02.001","2013-04","Contributors","Journal of Hand Therapy","0894-1130","Elsevier BV",78
"10.4028/www.scientific.net/amm.347-350.1116","2013-08","The Design and Realization of Display and Control Terminal for Radar Echo Simulator","AMM","1662-7482","Trans Tech Publications",2457
"10.1007/s00192-013-2074-2","2013-03-15","Surgical treatment of pelvic organ prolapse: a historical review with emphasis on the anterior compartment","Int Urogynecol J","0937-3462","Springer Science + Business Media",297
"10.1016/j.molcel.2013.08.030","2013-09","Phosphorylation-Dependent Assembly and Coordination of the DNA Damage Checkpoint Apparatus by Rad4TopBP1","Molecular Cell","1097-2765","Elsevier BV",78
"10.1038/gim.2013.138","2013-10-10","Determining pathogenicity of genetic variants in hypertrophic cardiomyopathy: importance of periodic reassessment","Genet Med","1098-3600","Nature Publishing Group",339
"10.1002/stab.201320031","2013-03","Lü¾¦¼sung und Gewinner der Weihnachtspreisaufgabe 2012","Stahlbau","0038-9145","Wiley-Blackwell",311
"10.1111/jch.12208","2013-10-09","Comparison of Efficacy and Safety Between Bisoprolol Transdermal Patch (TY-0201) and Bisoprolol Fumarate Oral Formulation in Japanese Patients With Grade I or II Essential Hypertension: Randomized, Double-Blind, Placebo-Controlled Study","The Journal of Clinical Hypertension","1524-6175","Wiley-Blackwell",311
"10.1017/s0950268813001015","2013-05-09","Spatial variation in the risk of hospitalization with childhood pneumonia and empyema in the North of England","Epidemiol. Infect.","0950-2688","Cambridge University Press (CUP)",56
"10.5433/1679-0359.2013v34n2p583","2013-05-17","Concentraü¾¶¼ü¾¼es de sacarose no desenvolvimento in vitro e na aclimatizaü¾¶¼ü¾¶¼o de Cattleya loddigesii Lindley","Sem. Ci. Agr.","1676-546X","Universidade Estadual de Londrina",3555
"10.1007/s10971-013-3168-5","2013-10-10","Preparation of single-layer antireflective SiO2 coating with broadband transmittance using PEG-modified solgel method","Journal of Sol-Gel Science and Technology","0928-0707","Springer Science + Business Media",297
"10.1007/s00060-013-0042-6","2013-02","Was Stimmtherapeuten wissen sollten","HNO Nachrichten","0177-1000","Springer Science + Business Media",297
"10.1200/jco.2013.53.2960","2013-11-25","Patient Navigation Improves the Care Experience for Patients With Newly Diagnosed Cancer","Journal of Clinical Oncology","0732-183X","American Society of Clinical Oncology (ASCO)",233
"10.12816/0003854","2013-09","The Role of Contraband Goods in Business Culture : Case Study : City of Yazd","SJBEM","2301-3621","Al Manhal FZ, LLC",5068
"10.14367/kjhep.2013.30.5.113","2013-12-31","ü¾¼ü¾¼$<D ü¾ ¼ ü¾¼ü¾¼ ì­ü¾³ ¼DD \ HIV )\ü¾¼ü¾¼ ,Development of HIV Prevention Program for Female Youth in A Rural Area of Ethiopia","Korean Journal of Health Education and Promotion","1229-4128","Korean Society for Health Education and Promotion",5478
"10.1016/j.porgcoat.2013.06.003","2013-11","Physiochemical interactions of chiral Schiff bases on high carbon steel surface: Corrosion inhibition in acidic media","Progress in Organic Coatings","0300-9440","Elsevier BV",78
"10.3145/epi.2013.may.05","2013-05-01","Mejorando las bü¾¼squedas en <i>Europeana</i>, el proyecto <i>Assets</i>","El Profesional de la Informacion","1386-6710","EPI SCP (El Profesional de la Informacion)",1709
"10.1177/1076029613492009","2013-06-06","The Relationship of Acute Myocardial Infarction With or Without ST-Segment Elevation and Viscosity","Clinical and Applied Thrombosis/Hemostasis","1076-0296","SAGE Publications",179
"10.1177/0333102412474507","2013-01-24","En'lightning' the impact of atmospheric conditions in headache","Cephalalgia","0333-1024","SAGE Publications",179
"10.3126/jfl.v9i1.8593","2013-09-11","Prospects of Soil Organic Carbon Sequestration: Implications for Nepals Mountain Agriculture","J. Forest & Livelihood","1684-0186","Nepal Journals Online (JOL)",1670
"10.1371/journal.pone.0068416","2013-07-22","A Phase I Study of Vincristine, Irinotecan, Temozolomide and Bevacizumab (Vitb) in Pediatric Patients with Relapsed Solid Tumors","PLoS ONE","1932-6203","Public Library of Science (PLoS)",340
"10.1016/j.cca.2013.05.001","2013-09","Multiplex newborn screening for Pompe, Fabry, Hunter, Gaucher, and Hurler diseases using a digital microfluidic platform","Clinica Chimica Acta","0009-8981","Elsevier BV",78
"10.1139/apnm-2012-0121","2013-02","Oophorectomy hinders antioxidant adaptation promoted by swimming in Wistar rats","Appl. Physiol. Nutr. Metab.","1715-5312","Canadian Science Publishing",155
"10.4028/www.scientific.net/amm.341-342.1393","2013-07","Application Research on Natural Frequency Method in Single Terminal Traveling Wave Fault Location","AMM","1662-7482","Trans Tech Publications",2457
"10.1016/j.clinthera.2013.07.135","2013-08","PP107Chronic treatment with taurine ameliorates diabetes-induced dysfunction of nitric oxide-mediated neurogenic and endothelium-dependent corpus cavernosum relaxation in rats","Clinical Therapeutics","0149-2918","Elsevier BV",78
"10.1021/es400425b","2013-05-07","Distinct Photolytic Mechanisms and Products for Different Dissociation Species of Ciprofloxacin","Environmental Science & Technology","0013-936X","American Chemical Society (ACS)",316
"10.1002/cncy.21282","2013-02","Targeting a murky cancer reservoir","Cancer Cytopathology","1934-662X","Wiley-Blackwell",311
"10.1200/jco.2012.45.6335","2013-04-22","Prognosis of Women With Primary Breast Cancer Diagnosed During Pregnancy: Results From an International Collaborative Study","Journal of Clinical Oncology","0732-183X","American Society of Clinical Oncology (ASCO)",233
"10.1001/jamapediatrics.2013.2175","2013-12-01","Highlights","JAMA Pediatrics","2168-6203","American Medical Association (AMA)",10
"10.1166/asl.2013.5206","2013-12-01","Effects of Zn and Ca Additions on the Solidification Behavior and Microstructure Analysis of Mg and Mg6Zn Alloys","adv sci lett","1936-6612","American Scientific Publishers",17
"10.1016/s0010-938x(13)00051-6","2013-04","IFC - Editorial Board","Corrosion Science","0010-938X","Elsevier BV",78
"10.1080/10852352.2013.788343","2013-07","The Role of Advocacy in Occasioning Community and Organizational Change in a MedicalLegal Partnership","Journal of Prevention & Intervention in the Community","1085-2352","Informa UK Limited",301
"10.4269/ajtmh.13-0461","2013-12-30","Sachet Water Quality and Brand Reputation in Two Low-Income Urban Communities in Greater Accra, Ghana","American Journal of Tropical Medicine and Hygiene","0002-9637","American Society of Tropical Medicine and Hygiene",2795
"10.1016/j.coche.2012.12.002","2013-05","Advances in molecular simulations of clathrate hydrates","Current Opinion in Chemical Engineering","2211-3398","Elsevier BV",78
"10.1016/j.jcyt.2012.09.003","2013-03","Impact of bone marrow-derived mesenchymal stromal cells on experimental xenogeneic graft-versus-host disease","Cytotherapy","1465-3249","Elsevier BV",78
"10.1002/adma.201305162","2013-12-23","Click Chemistry Plays a Dual Role in Biodegradable Polymer Design","Adv. Mater.","0935-9648","Wiley-Blackwell",311
"10.1007/s00339-013-8039-y","2013-12-03","Microwave scattering diagrams of three-layered SiC-metamaterial/gyrotropic ferrite-SiC cylinders","Appl. Phys. A","0947-8396","Springer Science + Business Media",297
"10.4028/www.scientific.net/amm.397-400.2651","2013-09","Research on Separating Mode of Business and Logistics","AMM","1662-7482","Trans Tech Publications",2457
"10.1016/j.jand.2013.06.296","2013-09","The Effect of Raisins on Blood Glucose","Journal of the Academy of Nutrition and Dietetics","2212-2672","Elsevier BV",78
"10.1021/jp310127a","2013-01-24","Detecting Bifurcations in an Electrochemical Cell Employing an Assisted Reference Model Strategy","J. Phys. Chem. A","1089-5639","American Chemical Society (ACS)",316
"10.1091/mbc.e13-08-0479","2013-10-30","Persistent telomere cohesion triggers a prolonged anaphase","Molecular Biology of the Cell","1059-1524","American Society for Cell Biology (ASCB)",1076
"10.1016/s1047-8477(13)00031-2","2013-03","Cover 2 - Editorial Board","Journal of Structural Biology","1047-8477","Elsevier BV",78
"10.1136/annrheumdis-2013-eular.1485","2013-06-01","FRI0358 Impaired endothelial function in patients with takayasu's arteritis","Annals of the Rheumatic Diseases","0003-4967","BMJ",239
"10.1177/0967772013479756","2013-07-04","Joseph Hersey Pratt (1872-1956): An early proponent of cognitive-behavioural therapy in America","Journal of Medical Biography","0967-7720","SAGE Publications",179
"10.1055/s-0033-1354130","2013-09-16","Umsetzung eines Empowerment-basierten Projekts mit Senioren zu gesunder Ernü¾¼hrung - Ergebnisse der Prozessevaluation","Das Gesundheitswesen","0941-3790","Thieme Publishing Group",194
"10.2147/copd.s38320","2013-03","Inspiratory drive is related to dynamic pulmonary hyperinflation in COPD patients","COPD","1178-2005","Dove Medical Press Ltd.",895
"10.1002/chin.201301102","2013-01-01","ChemInform Abstract: Enantioselective Organo-SOMO Cycloadditions: A Catalytic Approach to Complex Pyrrolidines from Olefins and Aldehydes.","ChemInform","0931-7597","Wiley-Blackwell",311
"10.5012/bkcs.2013.34.3.953","2013-03-20",", Influence of TiO 2 Surface Properties on Water Pollution Treatment and Photocatalytic Activity ","Bulletin of the Korean Chemical Society","0253-2964","Korean Chemical Society",2923
"10.1111/hepr.12004","2013-02","Nutritional status and quality of life in current patients with liver cirrhosis as assessed in 2007-2011","Hepatology Research","1386-6346","Wiley-Blackwell",311
"10.1177/1753193412471021","2013-01-22","Complex Regional Pain Syndrome: a review","Journal of Hand Surgery (European Volume)","1753-1934","SAGE Publications",179
"10.12968/bjha.2013.7.3.146","2013-03","Unregistered does not have to mean unprofessional","Br J Healthcare Assistants","1753-1586","Mark Allen Group",5130
"10.1210/jc.2013-1505","2013-08","New Genes in Bone Development: What's New in Osteogenesis Imperfecta","The Journal of Clinical Endocrinology & Metabolism","0021-972X","The Endocrine Society",80
"10.1007/s11148-013-9563-1","2013-07","Study of the heat resistance of ceramic products for use in glassmaking","Refract Ind Ceram","1083-4877","Springer Science + Business Media",297
"10.1080/03235408.2013.829626","2013-08-05"," Bio-efficacy of some leaf extracts on the inhibition of egg hatching and mortality of Meloidogyne incognita ","Archives Of Phytopathology And Plant Protection","0323-5408","Informa UK Limited",301
"10.1371/journal.pone.0067020","2013-06-24","Antibodies against AT1 Receptors Are Associated with Vascular Endothelial and Smooth Muscle Function Impairment: Protective Effects of Hydroxysafflor Yellow A","PLoS ONE","1932-6203","Public Library of Science (PLoS)",340
"10.1016/j.reumae.2013.10.002","2013-11","Incidence of Cancer in a Cohort of Spanish Patients With Systemic Lupus Erythematosus","Reumatología Clínica (English Edition)","2173-5743","Elsevier BV",78
"10.1111/j.1540-6261.2012.01801.x","2013-01-11","Liquidity Cycles and Make/Take Fees in Electronic Markets","The Journal of Finance","0022-1082","Wiley-Blackwell",311
"10.1016/j.canlet.2012.05.014","2013-09","EMT in breast cancer stem cell generation","Cancer Letters","0304-3835","Elsevier BV",78
"10.1016/j.agee.2013.07.010","2013-10","Predicting critical source areas of sediment in headwater catchments","Agriculture","0167-8809","Elsevier BV",78
"10.1007/s00423-013-1147-5","2013-12-08","A novel adaptation of laparoscopic Tenckhoff catheter insertion technique to enhance catheter stability and function in automated peritoneal dialysis","Langenbeck's Archives of Surgery","1435-2443","Springer Science + Business Media",297
"10.1080/00045608.2013.779549","2013-11","Economic Development, Racialization, and Privilege: Yes in My Backyard Prison Politics and the Reinvention of Madras, Oregon","Annals of the Association of American Geographers","0004-5608","Informa UK Limited",301
"10.1016/j.ultras.2013.03.004","2013-08","Numerical simulation of effective phase velocity and attenuation of shear elastic wave propagation in unidirectional composite materials","Ultrasonics","0041-624X","Elsevier BV",78
"10.1127/0077-7757/2013/0236","2013-04-01","Volcanic redbed-type copper mineralization in the Lower Cretaceous volcano-sedimentary sequence of the Keshtmahaki deposit, southern Sanandaj-Sirjan Zone, Iran","N. Jb. Miner. Abh.","0077-7757","Schweizerbart",181
"10.1002/mrm.25034","2013-11-20","Magnetization transfer in lamellar liquid crystals","Magn. Reson. Med.","0740-3194","Wiley-Blackwell",311
"10.1016/s0300-9440(12)00326-8","2013-02","Contents","Progress in Organic Coatings","0300-9440","Elsevier BV",78
"10.1093/eurheartj/eht309.p3014","2013-08-01","Impact of bifurcation angle on mace after cross over single drug-eluting stent strategy in unprotected left main bifurcation lesion: 3-dimensional quantitative coronary angiographic analysis","European Heart Journal","0195-668X","Oxford University Press (OUP)",286
"10.5560/zna.2013-0071","2013-12-18","Stochastic Soliton Solutions of the High-Order Nonlinear Schrü¾¦¼dinger Equation in the Optical Fiber with Stochastic Dispersion and Nonlinearity","Z. Naturforsch. A","0932-0784","Verlag der Zeitschrift fuer Naturforschung",3497
"10.2147/dmso.s24825","2013-02","Guidelines in the management of diabetic nerve pain clinical utility of pregabalin","Diabetes","1178-7007","Dove Medical Press Ltd.",895
"10.1016/j.jhin.2012.10.017","2013-03","Nosocomial infection surveillance in an Egyptian neonatal intensive care unit","Journal of Hospital Infection","0195-6701","Elsevier BV",78
"10.1016/s1359-6128(13)70248-9","2013-07","Sembcorp's Fujairah desalination expansion underway in UAE","Pump Industry Analyst","1359-6128","Elsevier BV",78
"10.4028/www.scientific.net/amr.671-674.2870","2013-03","Apartitioned Approach to Real Time Lane Detection at Different Weather Conditions","AMR","1662-8985","Trans Tech Publications",2457
"10.1038/nsmb.2661","2013-09-05","Translocation at work","Nat Struct Mol Biol","1545-9993","Nature Publishing Group",339
"10.1016/j.dental.2013.03.019","2013-06","Fracture strength of minimally prepared all-ceramic CEREC crowns after simulating 5 years of service","Dental Materials","0109-5641","Elsevier BV",78
"10.4028/www.scientific.net/amm.448-453.2335","2013-10","Discussion on Construction Mode of Distributed and Autonomous Region-County Integration Dispatching Automation System","AMM","1662-7482","Trans Tech Publications",2457
"10.1016/j.ijsu.2013.06.386","2013-10","Improving the preoperative care of patients with femoral neck fractures through the development and implementation of a checklist","International Journal of Surgery","1743-9191","Elsevier BV",78
"10.1016/j.buildenv.2012.11.014","2013-02","Numerical investigation of particle transport and inhalation using standing thermal manikins","Building and Environment","0360-1323","Elsevier BV",78
"10.1260/1708-5284.10.4.353","2013-08-21","Novel method of sound barrier measurement of porous and nonporous materials","World Journal of Engineering","1708-5284","Multi-Science Publishing Co. Ltd.",282
"10.1103/physrevlett.110.076804","2013-02","Electromagnetic and Thermal Responses of <span class=""aps-inline-formula""><math display=""inline""><mi>Z</mi></math></span> Topological Insulators and Superconductors in Odd Spatial Dimensions","Phys. Rev. Lett.","0031-9007","American Physical Society (APS)",16
"10.2478/pjct-2013-0037","2013-01-01","The unconventional single stage hydrolysis of potato starch","Polish Journal of Chemical Technology","1899-4741","De Gruyter Open Sp. z o.o.",1316
"10.1007/s12228-012-9269-6","2013-06","Carex fumosimontana (Cyperaceae), a new endemic from the Great Smoky Mountains National Park, North Carolina and Tennessee","Brittonia","0007-196X","Springer Science + Business Media",297
"10.1063/1.4856796","2013-12-23","Extracting physical properties of arbitrarily shaped laser-doped micro-scale areas in semiconductors","Applied Physics Letters","0003-6951","AIP Publishing",317
"10.1080/10481885.2013.772479","2013-03"," My Enfant Terrible is Twenty: A Discussion of Slavin's and Gentile's Retrospective Reconsideration of Love in the Afternoon ","Psychoanalytic Dialogues","1048-1885","Informa UK Limited",301
"10.5556/j.tkjm.44.2013.1008","2013-03-29","A subclass of close-to-convex functions","Tamkang Journal of Mathematics","2073-9826","Tamkang Journal of Mathematics",3540
"10.1016/j.bbi.2012.08.010","2013-07","Do environments in infancy moderate the association between stress and inflammation in adulthood? Initial evidence from a birth cohort in the Philippines","Brain","0889-1591","Elsevier BV",78
"10.1016/j.scitotenv.2013.02.077","2013-05","Geochemical signature and properties of sediment sources and alluvial sediments within the Lago Paranoü¾¼ catchment, Brasilia DF: A study on anthropogenic introduced chemical elements in an urban river basin","Science of The Total Environment","0048-9697","Elsevier BV",78
"10.9734/bjesbs/2013/4399","2013-01-10","Teaching Thinking: Using a Creativity Technique for the Eradication of Truancy among Students to Enhance the Success of Universal Basic Education in Nigeria","British Journal of Education","2278-0998","Sciencedomain International",4694
"10.1016/s0894-7317(13)00695-0","2013-10","Information for Authors","Journal of the American Society of Echocardiography","0894-7317","Elsevier BV",78
"10.1016/j.forsciint.2012.05.012","2013-02","The effect on toxicology, biochemistry and immunology investigations by the use of targeted post-mortem computed tomography angiography","Forensic Science International","0379-0738","Elsevier BV",78
"10.7567/jjap.53.010210","2013-12-30","Analysis of effect of ion irradiation to liquid surface on water molecule kinetics by classical molecular dynamics simulation","Japanese Journal of Applied Physics","0021-4922","IOP Publishing",266
"10.4148/jft.v4i1.1839","2013-01-01","Financial Ratios and Perceived Household Financial Satisfaction","Journal of Financial Therapy","1944-9771","New Prairie Press",2637
"10.5815/ijmecs.2013.10.03","2013-11-08","Simulation and Analysis of AODV and DSR Routing Protocol under Black Hole Attack","IJMECS","2075-0161","MECS Publisher",3826
"10.1016/j.anai.2013.07.007","2013-10","Systematic reviews and heterogeneity","Annals of Allergy","1081-1206","Elsevier BV",78
"10.1371/journal.pntd.0002293","2013-06-27","An Adult Mouse Model of Vibrio cholerae-induced Diarrhea for Studying Pathogenesis and Potential Therapy of Cholera","PLoS Neglected Tropical Diseases","1935-2735","Public Library of Science (PLoS)",340
"10.1016/j.jmarsys.2012.07.010","2013-09","A Eulerian nutrient to fish model of the Baltic Sea  A feasibility-study","Journal of Marine Systems","0924-7963","Elsevier BV",78
"10.1128/jcm.01348-13","2013-08-16","Internet-Based Solutions for Analysis of Next-Generation Sequence Data","Journal of Clinical Microbiology","0095-1137","American Society for Microbiology",235
"10.1158/1538-7445.am2013-89","2013-04-15","Abstract 89: Parathyroid Hormone-related Protein (PTHrP) is critical for breast tumour metastasis and may constitute a novel target for therapeutic intervention.","Cancer Research","0008-5472","American Association for Cancer Research (AACR)",1086
